Time,G8,G9,GA,GB,B1,B2,B3,lat,lon,gpsacc,imei,time
0,0,0,0,0,0,0,0,10.8808751,-1.0877509,33,8.62E+14,735926.496
0,0,0,0,0,0,0,0,10.8808752,-1.0877509,27,8.62E+14,735926.4961
0,0,0,0,0,0,0,0,10.8808752,-1.087751,41,8.62E+14,735926.4963
0,0,0,0,0,0,0,0,10.8808753,-1.087751,33,8.62E+14,735926.4964
0,0,0,0,0,0,0,0,10.8808753,-1.087751,49,8.62E+14,735926.4965
0,0,0,0,0,0,0,0,10.8808753,-1.087751,96,8.62E+14,735926.4966
0,0,0,0,0,0,0,0,10.8808753,-1.087751,96,8.62E+14,735926.4967
0,0,0,0,0,0,0,0,10.8808753,-1.087751,25,8.62E+14,735926.4968
0,0,0,0,0,0,0,0,10.8808753,-1.087751,25,8.62E+14,735926.497
0,0,0,0,0,0,0,0,10.8808753,-1.087751,96,8.62E+14,735926.4971
0,0,0,0,0,0,0,0,10.8808753,-1.087751,39,8.62E+14,735926.4972
0,0,0,0,0,0,0,0,10.8808753,-1.087751,24,8.62E+14,735926.4973
0,0,0,0,0,0,0,0,10.8808753,-1.087751,46,8.62E+14,735926.4974
0,0,0,0,0,0,0,0,10.8808753,-1.087751,32,8.62E+14,735926.4975
0,0,0,0,0,0,0,0,10.8808753,-1.087751,48,8.62E+14,735926.4977
0,0,0,0,0,0,0,0,10.8808753,-1.087751,48,8.62E+14,735926.4978
0,0,0,0,0,0,0,0,10.8808753,-1.087751,31,8.62E+14,735926.4979
0,0,0,0,0,0,0,0,10.8808753,-1.087751,36,8.62E+14,735926.498
0,0,0,0,0,0,0,0,10.8808753,-1.087751,32,8.62E+14,735926.4981
0,0,0,0,0,0,0,0,10.8808753,-1.087751,32,8.62E+14,735926.4982
0,0,0,0,0,0,0,0,10.8808753,-1.087751,32,8.62E+14,735926.4984
0,0,0,0,0,0,0,0,10.8808753,-1.087751,59,8.62E+14,735926.4985
0,0,0,0,0,0,0,0,10.8808753,-1.087751,59,8.62E+14,735926.4986
0,0,0,0,0,0,0,0,10.8808754,-1.087751,38,8.62E+14,735926.4987
0,0,0,0,0,0,0,0,10.8808754,-1.087751,38,8.62E+14,735926.4988
0,0,0,0,0,0,0,0,10.8808754,-1.087751,38,8.62E+14,735926.4989
0,0,0,0,0,0,0,0,10.8808754,-1.087751,51,8.62E+14,735926.4991
0,0,0,0,0,0,0,0,10.8808754,-1.087751,39,8.62E+14,735926.4992
0,0,0,0,0,0,0,0,10.8808754,-1.087751,29,8.62E+14,735926.4993
0,0,0,0,0,0,0,0,10.8808754,-1.087751,45,8.62E+14,735926.4994
0,0,0,0,0,0,0,0,10.8808754,-1.087751,37,8.62E+14,735926.4995
0,0,0,0,0,0,0,0,10.8808754,-1.087751,96,8.62E+14,735926.4997
